catchment_id Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) swe(mm) tmax(C) tmin(C) vp(Pa) pet(mm/day)
01139000 2011 8 9 12 43200 -0.000 319.150 0 24.126 10.363 1235.244 1.370
01139000 2011 8 10 12 43200 0.000 261.518 0 25.182 11.726 1348.315 1.403
01139800 2011 8 1 12 43200 0.506 270.060 0 29.996 14.642 1757.206 1.670
01139800 2011 8 2 12 43200 13.942 290.473 0 21.970 14.740 1860.986 1.029
01139800 2011 8 3 12 43200 0.001 324.989 0 26.060 11.850 1470.925 1.467
01139800 2011 8 4 12 43200 1.429 182.729 0 27.415 15.919 1772.591 1.420
01139800 2011 8 5 12 43200 0.497 267.074 0 29.438 14.788 1870.116 1.622
01139800 2011 8 6 12 43200 4.823 301.808 0 29.012 16.893 2120.892 1.508
01139800 2011 8 7 12 43200 1.873 308.804 0 29.352 17.147 2070.224 1.525
01139800 2011 8 8 12 43200 1.860 270.161 0 23.952 16.016 1891.689 1.128
01139800 2011 8 9 12 43200 -0.000 320.867 0 24.490 10.538 1237.347 1.395
01139800 2011 8 10 12 43200 0.000 249.205 0 25.363 11.844 1358.525 1.417
01142500 2011 8 1 12 43200 0.012 289.813 0 28.793 15.419 1784.199 1.563
01142500 2011 8 2 12 43200 12.800 303.469 0 21.584 14.989 1848.234 0.989
01142500 2011 8 3 12 43200 0.000 325.140 0 25.591 11.604 1468.559 1.453
01142500 2011 8 4 12 43200 1.406 205.398 0 27.362 15.756 1798.408 1.435
01142500 2011 8 5 12 43200 0.688 271.961 0 28.725 15.038 1857.859 1.572
01142500 2011 8 6 12 43200 4.500 273.445 0 28.428 17.358 2138.798 1.451
01142500 2011 8 7 12 43200 1.437 313.465 0 29.045 16.908 2076.913 1.523
01142500 2011 8 8 12 43200 1.894 260.962 0 22.805 15.462 1860.993 1.069
01142500 2011 8 9 12 43200 0.000 318.600 0 23.499 10.412 1250.497 1.340
01142500 2011 8 10 12 43200 0.000 239.275 0 25.275 12.301 1364.329 1.407
01144000 2011 8 1 12 43200 0.226 291.938 0 29.092 15.403 1796.874 1.606
01144000 2011 8 2 12 43200 11.225 305.677 0 22.704 15.075 1833.971 1.095
01144000 2011 8 3 12 43200 0.000 326.218 0 25.893 11.735 1467.033 1.488
01144000 2011 8 4 12 43200 1.075 189.393 0 27.813 16.193 1787.364 1.470
01144000 2011 8 5 12 43200 0.449 268.564 0 28.593 14.944 1870.495 1.584
01144000 2011 8 6 12 43200 3.804 283.404 0 29.002 17.456 2134.692 1.513
01144000 2011 8 7 12 43200 2.872 312.636 0 29.252 16.996 2116.725 1.554
01144000 2011 8 8 12 43200 1.419 279.461 0 23.742 15.890 1873.452 1.140
01144000 2011 8 9 12 43200 0.000 320.955 0 24.014 10.513 1244.433 1.390
01144000 2011 8 10 12 43200 0.000 242.892 0 25.856 11.981 1362.409 1.478
01162500 2011 8 1 12 43200 0.000 298.208 0 32.550 16.376 1742.354 1.948
01162500 2011 8 2 12 43200 1.133 207.567 0 29.943 16.131 1714.188 1.737
01162500 2011 8 3 12 43200 0.090 330.944 0 28.847 14.001 1493.619 1.727
01162500 2011 8 4 12 43200 3.266 238.088 0 28.853 16.842 1885.532 1.612
01162500 2011 8 5 12 43200 4.460 256.721 0 29.494 16.640 2123.666 1.677
01162500 2011 8 6 12 43200 0.000 272.328 0 33.152 17.812 2062.762 1.945
01162500 2011 8 7 12 43200 11.084 277.288 0 30.599 18.854 2364.743 1.671
01162500 2011 8 8 12 43200 1.090 301.999 0 29.612 19.808 2058.668 1.526
01162500 2011 8 9 12 43200 0.000 330.169 0 27.476 11.835 1239.251 1.690
01162500 2011 8 10 12 43200 0.000 233.782 0 26.456 13.407 1282.896 1.555
01169000 2011 8 1 12 43200 0.005 316.384 0 30.244 16.449 1757.341 1.753
01169000 2011 8 2 12 43200 0.904 304.021 0 29.747 15.894 1660.149 1.734
01169000 2011 8 3 12 43200 0.000 331.626 0 28.188 13.690 1469.203 1.688
01169000 2011 8 4 12 43200 0.500 202.907 0 27.149 16.351 1720.161 1.489
01169000 2011 8 5 12 43200 5.102 310.207 0 27.962 16.650 2130.059 1.546
01169000 2011 8 6 12 43200 0.000 302.868 0 32.192 17.477 2021.749 1.879
01169000 2011 8 7 12 43200 0.201 266.222 0 30.649 18.008 2097.723 1.720
01169000 2011 8 8 12 43200 0.000 301.970 0 26.145 19.462 1987.236 1.204
01169000 2011 8 9 12 43200 0.000 331.249 0 26.569 11.998 1229.921 1.618
01169000 2011 8 10 12 43200 0.000 219.490 0 24.780 12.626 1277.315 1.454
01170100 2011 8 1 12 43200 0.000 316.375 0 30.250 16.450 1757.174 1.748
01170100 2011 8 2 12 43200 0.900 304.000 0 29.750 15.895 1660.062 1.728
01170100 2011 8 3 12 43200 0.000 331.625 0 28.193 13.692 1469.158 1.683
01170100 2011 8 4 12 43200 0.500 202.875 0 27.150 16.352 1720.193 1.484
01170100 2011 8 5 12 43200 5.100 310.250 0 27.968 16.650 2129.978 1.542
01170100 2011 8 6 12 43200 0.000 302.875 0 32.197 17.477 2021.691 1.873
